,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
1232,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1233,158876,,Chinese,,58.304,8.4,9,tv,False
1234,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1235,117465,,Japanese,,62.392,10.0,4,tv,False
1236,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1237,208891,,Japanese,,59.825,8.667,3,tv,False
1238,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1239,82856,,English,,1108.646,8.488,8697,tv,False
1240,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1241,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1242,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1243,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1244,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1245,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1246,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1247,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1248,95558,,English,,64.625,8.0,8,tv,False
1249,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1250,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1251,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1252,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1253,158876,,Chinese,,58.304,8.4,9,tv,False
1254,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1255,117465,,Japanese,,62.392,10.0,4,tv,False
1256,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1257,208891,,Japanese,,59.825,8.667,3,tv,False
1258,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1259,82856,,English,,1108.646,8.488,8697,tv,False
1260,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1261,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1262,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1263,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1264,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1265,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1266,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1267,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1268,95558,,English,,64.625,8.0,8,tv,False
1269,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1270,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1271,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1272,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1273,158876,,Chinese,,58.304,8.4,9,tv,False
1274,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1275,117465,,Japanese,,62.392,10.0,4,tv,False
1276,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1277,208891,,Japanese,,59.825,8.667,3,tv,False
1278,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1279,82856,,English,,1108.646,8.488,8697,tv,False
1280,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1281,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1282,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1283,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1284,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1285,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1286,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1287,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1288,95558,,English,,64.625,8.0,8,tv,False
1289,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
