,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
1496,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1497,208891,,Japanese,,59.825,8.667,3,tv,False
1498,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1499,82856,,English,,1108.646,8.488,8697,tv,False
1500,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1501,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1502,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1503,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1504,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1505,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1506,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1507,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1508,95558,,English,,64.625,8.0,8,tv,False
1509,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1510,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1511,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1512,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1513,158876,,Chinese,,58.304,8.4,9,tv,False
1514,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1515,117465,,Japanese,,62.392,10.0,4,tv,False
1516,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1517,208891,,Japanese,,59.825,8.667,3,tv,False
1518,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1519,82856,,English,,1108.646,8.488,8697,tv,False
1520,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1521,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1522,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1523,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1524,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1525,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1526,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1527,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1528,95558,,English,,64.625,8.0,8,tv,False
1529,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1530,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1531,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1532,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1533,158876,,Chinese,,58.304,8.4,9,tv,False
1534,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1535,117465,,Japanese,,62.392,10.0,4,tv,False
1536,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1537,208891,,Japanese,,59.825,8.667,3,tv,False
1538,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1539,82856,,English,,1108.646,8.488,8697,tv,False
1540,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1541,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1542,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1543,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1544,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1545,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1546,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1547,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1548,95558,,English,,64.625,8.0,8,tv,False
1549,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1550,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1551,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1552,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1553,158876,,Chinese,,58.304,8.4,9,tv,False
1554,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1555,117465,,Japanese,,62.392,10.0,4,tv,False
1556,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1557,208891,,Japanese,,59.825,8.667,3,tv,False
1558,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1559,82856,,English,,1108.646,8.488,8697,tv,False
1560,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1561,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1562,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1563,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1564,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1565,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1566,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1567,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1568,95558,,English,,64.625,8.0,8,tv,False
1569,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1570,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1571,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1572,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
